date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-06-15,CT,109,0.770974624252242,0.770818562950072,0.637010816853036,0.872989988707071,29.9768634862432,60.306166680195,72.6853421826539,147,7271,7271,147,3
2020-06-16,CT,110,0.771625572847684,0.772021042436351,0.651668930032334,0.886245438922678,28.5915889592024,57.2014779133047,81.2717352174682,114,5043,5043,114,6
2020-06-17,CT,111,0.772900373798354,0.768877261949583,0.646343128676799,0.891162432480417,27.2845658310794,54.2733059233309,44.6748048267896,80,6438,6438,80,9
2020-06-18,CT,112,0.775303810477164,0.77417555562892,0.635067632816527,0.885358804564351,26.0498653942813,51.5119424316074,8.36624795912732,11,4727,4727,11,7
2020-06-19,CT,113,0.776097442435021,0.772669390615408,0.638122437536578,0.892623089661106,24.8866497718243,48.9079261629232,57.6770842529823,117,7293,7293,117,12
2020-06-20,CT,114,0.777070178765121,0.773398854740634,0.651228611306159,0.915803674652935,23.7962687410089,46.4521991187711,48.2331983623055,158,11777,11777,158,13
2020-06-21,CT,115,0.778756395328151,0.774847837188277,0.614982906204249,0.892319590666002,22.7737785856313,44.1357887439108,38.1150799728163,40,3773,3773,40,9
2020-06-22,CT,116,0.780929000246033,0.777049251338799,0.646146303249243,0.923348632963245,21.812569484484,41.9502461997736,45.3219407964185,27,2124,2124,27,3
2020-06-23,CT,117,0.781634586541741,0.771811901205743,0.62907364323909,0.918363599624079,20.9104090043294,39.8879373299616,65.807098788642,117,6392,6392,117,14
2020-06-24,CT,118,0.780615715391931,0.773339291284687,0.620691577886415,0.912697671736635,20.0660033294089,37.9417607449002,23.5002655981429,14,0,-1594,14,10
2020-06-25,CT,119,0.781331061465595,0.772912472357762,0.610509464255579,0.914761600994298,19.2746452878252,36.1052053408114,44.1698162283191,81,6593,6593,81,11
2020-06-26,CT,120,0.780663277716768,0.775379004750679,0.605080583397483,0.918454319822007,18.52863171346,34.372631932864,29.5098269602643,65,7919,7919,65,9
2020-06-27,CT,121,0.782843616540325,0.773227813946228,0.614141226245843,0.942987585133632,17.8256363524012,32.7389471084923,41.6597133068009,147,12686,12686,147,4
2020-06-28,CT,122,0.783739778535238,0.77412114033662,0.605980166856214,0.944905088158764,17.1627097808766,31.199238558416,38.4280856295627,97,9075,9075,97,5
2020-06-29,CT,123,0.783523057745427,0.773502550044999,0.591838623626138,0.936335297431706,16.5396841027217,29.7487667742896,33.3884920805474,59,6353,6353,59,4
2020-06-30,CT,124,0.783050116564829,0.77061605879013,0.606306848007552,0.95563330693474,15.9580771451272,28.3830711895887,25.5145740779838,152,21418,21418,152,2
